backbone,dataset,protocol,seed,target_set,layer_name,layer_group,layer_index,split_source,batch_size,task,matrix_rows,matrix_cols,n_batches,sha256_integrity_all_pass,loss_mean,loss_median,loss_std,loss_iqr,grad_erank_mean,grad_erank_median,grad_erank_std,grad_erank_iqr,grad_erank_norm_mean,grad_erank_norm_median,grad_erank_norm_std,grad_erank_norm_iqr,grad_stable_rank_mean,grad_stable_rank_median,grad_stable_rank_std,grad_stable_rank_iqr,grad_top4_energy_mean,grad_top4_energy_median,grad_top4_energy_std,grad_top4_energy_iqr,grad_top8_energy_mean,grad_top8_energy_median,grad_top8_energy_std,grad_top8_energy_iqr,grad_top16_energy_mean,grad_top16_energy_median,grad_top16_energy_std,grad_top16_energy_iqr,grad_sv_entropy_mean,grad_sv_entropy_median,grad_sv_entropy_std,grad_sv_entropy_iqr,grad_spectral_entropy_norm_mean,grad_spectral_entropy_norm_median,grad_spectral_entropy_norm_std,grad_spectral_entropy_norm_iqr,alignment_A4_mean,alignment_A4_median,alignment_A4_std,alignment_A4_iqr,alignment_A8_mean,alignment_A8_median,alignment_A8_std,alignment_A8_iqr,alignment_A16_mean,alignment_A16_median,alignment_A16_std,alignment_A16_iqr,fisher_target_fraction_mean,fisher_target_fraction_median,fisher_target_fraction_std,fisher_target_fraction_iqr,fisher_layer_trace_mean,fisher_layer_trace_median,fisher_layer_trace_std,fisher_layer_trace_iqr
unimol2_84m,bace,scaffold,0,historical,encoder.layers.11.self_attn.linear_k,attention_key,11,dumped/n4_full_ft_splits/bace_scaffold_seed0.json,1,classification,768,768,5,True,0.67721389534,0.6365283728,0.06730475382450243,0.0709280967,14.53043571,13.69995112,1.7941917721131624,2.679624089999999,0.0189198381640625,0.017838478020833333,0.002336187203272347,0.0034890938671874976,1.5161798236000001,1.476192081,0.28451808352418495,0.28799685099999994,0.90963543662,0.9064282014,0.0311907992484902,0.019893696599999955,0.9659349693599999,0.9677171974,0.012497454905808772,0.0016018358999999593,0.99406953398,0.99562775,0.002511506303028298,0.0025304924000000284,2.6689252346,2.617392265,0.11975989654976363,0.18778363799999997,0.4017172941648058,0.3939607317704711,0.018025840876969495,0.028264536588672617,0.0018252906725999998,0.001404468648,0.0007230164996722377,0.0009392202949999998,0.006977889113399999,0.00729251998,0.001754757297264978,0.0019812492900000006,0.010729174115600001,0.0112874695,0.002358127665969367,0.0030928527619999997,0.0089308662072,0.007767726779,0.003158392021566866,0.0054879405840000004,0.00028925730148,0.0002097575343,0.00013247984464096198,0.0001866589737
unimol2_84m,bace,scaffold,0,historical,encoder.layers.11.self_attn.linear_q,attention_query,11,dumped/n4_full_ft_splits/bace_scaffold_seed0.json,1,classification,768,768,5,True,0.67721389534,0.6365283728,0.06730475382450243,0.0709280967,1.0000038344,1.000003822,2.6636110830316035e-07,3.050000001447728e-07,0.0013020883260416666,0.0013020883098958335,3.468243597395321e-10,3.9713541678289277e-10,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.8346108946000005e-06,3.822487699e-06,2.6649120122698166e-07,3.0503385400000024e-07,5.771722237788599e-07,5.753474827670374e-07,4.011132379722746e-08,4.591262912462504e-08,0.0020508191654000003,0.002086382706,0.0004308163979663784,0.0008466460599999997,0.003178435943,0.003216974199,0.0006834301774531337,0.001028604073,0.0089584403114,0.008741586958,0.001085210541194475,0.0015615882669999994,0.014074785437999998,0.0117895481,0.00531131251632086,0.008501923869999999,0.00045991515800000005,0.0003499838058,0.000227088702302322,0.0002853809856
unimol2_84m,bace,scaffold,0,historical,encoder.layers.11.self_attn.linear_v,attention_value,11,dumped/n4_full_ft_splits/bace_scaffold_seed0.json,1,classification,768,768,5,True,0.67721389534,0.6365283728,0.06730475382450243,0.0709280967,7.0436475631999995,7.218225819,0.6352143063727305,1.073058789,0.009171416097916666,0.00939873153515625,0.0008271019614228262,0.001397211964843749,1.0429382854,1.044622391,0.0170381947042442,0.024225359999999974,0.9878187158599999,0.9878582928,0.004477903972378076,0.003942870199999948,0.9956659121400001,0.9960716638,0.0014104636779549444,0.001578705499999944,0.99908107572,0.9990665969,0.00023085570705824957,0.0002461526000000491,1.947960956,1.976609191,0.09181448433740633,0.15246024599999997,0.29320027186909503,0.2975123040300568,0.013819595144518037,0.022947783136382904,0.00063483386694,0.0007170775471,0.00016649027972902162,0.0003183162539,0.009377674454,0.009055583015,0.0015509901507667653,0.002799983943,0.038628217888,0.03875549487,0.004119785178917067,0.006760293140000005,0.9769943483400001,0.9804427251,0.00844161007567073,0.013989864400000052,0.030878080800000002,0.02744756266,0.005710794178215186,0.004876721649999999
unimol2_84m,bace,scaffold,1,historical,encoder.layers.11.self_attn.linear_k,attention_key,11,dumped/n4_full_ft_splits/bace_scaffold_seed1.json,1,classification,768,768,5,True,0.7315876603,0.7776019573,0.08457211528202449,0.15438842780000006,14.066717728,12.95332305,3.534423459311346,5.852963389999999,0.018316038708333333,0.0168663060546875,0.004602113879311649,0.007621046080729166,1.6309881076,1.580482163,0.3552708113639528,0.25220201600000003,0.8948386020199999,0.9064628169,0.03199679747053366,0.06001759309999999,0.96066930174,0.9674211615,0.020207305809609277,0.024988754799999957,0.9930893857199999,0.9955872249,0.005925808066377673,0.0066031710999999715,2.612704528,2.561352362,0.24839280425819,0.424737457,0.3932551499883428,0.3855258015196834,0.03738721636822593,0.06392999689331974,0.0008635603943399999,0.0008764972299,0.00036393615621951663,0.00044090332759999995,0.003953494221600001,0.003475230905,0.0008829655790603986,0.00019097735200000006,0.0062100814088,0.005958698297,0.0009914143749242313,0.00023352532100000007,0.009294719519600002,0.007947062224,0.004812103361241869,0.008600125812,0.00033781775272,0.0002278578031,0.00019685237912610333,0.0003437081031
unimol2_84m,bace,scaffold,1,historical,encoder.layers.11.self_attn.linear_q,attention_query,11,dumped/n4_full_ft_splits/bace_scaffold_seed1.json,1,classification,768,768,5,True,0.7315876603,0.7776019573,0.08457211528202449,0.15438842780000006,1.000004007,1.000004161,3.2647633910223736e-07,5.530000000142365e-07,0.00130208855078125,0.0013020887513020831,4.250993998874055e-10,7.200520834964308e-10,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0068373276e-06,4.160655851e-06,3.2650172565995744e-07,5.523844839999996e-07,6.030951442681576e-07,6.262473705694443e-07,4.9143898102456755e-08,8.314298106756798e-08,0.0031711811822000002,0.003055762098,0.0012779807030349971,0.001008515478,0.004727689532,0.004033755738,0.001528115069667698,0.0026084752210000003,0.010298147115599999,0.008590324276,0.0027674555488959333,0.0031170296839999993,0.0163123830192,0.0171578988,0.008645954972221937,0.01293217639,0.0005849272712,0.0004919504863,0.00033865329180549726,0.0005370219879
unimol2_84m,bace,scaffold,1,historical,encoder.layers.11.self_attn.linear_v,attention_value,11,dumped/n4_full_ft_splits/bace_scaffold_seed1.json,1,classification,768,768,5,True,0.7315876603,0.7776019573,0.08457211528202449,0.15438842780000006,6.998650202200001,6.572976142,0.8450683257453409,0.2619877989999999,0.009112825784114584,0.008558562684895833,0.0011003493824809129,0.00034112994661458437,1.0585170768,1.061334288,0.02174087109245879,0.03243936700000005,0.9842873184800001,0.985032395,0.004358290313329022,0.004940662300000009,0.99518812416,0.9951747513,0.0010667022033217849,0.001720659099999966,0.9992350552400001,0.9993063173,0.0003855043036292924,0.0003548910999999766,1.939112153,1.88296672,0.11209166071478495,0.03921212800000018,0.2918683809822039,0.2834175667248118,0.016871644831793695,0.005902072397679925,0.00076530083494,0.0008466931068,0.00020809108684271844,0.0004082724232,0.0123832007032,0.01110226905,0.0025474274217812064,0.0041196001400000005,0.046990449776,0.0410214344,0.007765252831774633,0.013070924800000001,0.9743928974400001,0.974895039,0.013374219969634407,0.021638809699999983,0.034486292678,0.03527434543,0.005881151228243256,0.011541068549999998
unimol2_84m,bace,scaffold,2,historical,encoder.layers.11.self_attn.linear_k,attention_key,11,dumped/n4_full_ft_splits/bace_scaffold_seed2.json,1,classification,768,768,5,True,0.7053787231399999,0.748909533,0.06937138548606953,0.13767796759999995,14.353097195999998,15.43952334,1.590612288324629,2.12315113,0.018688928640624998,0.020103546015624998,0.0020711097504226934,0.0027645197005208323,1.8209714089999998,1.548324716,0.6108604333283396,0.41517784299999994,0.88635517452,0.8882420607,0.030557507444493592,0.03208932049999991,0.9630159485,0.9612995972,0.008884716788106846,0.004899316599999981,0.99419992944,0.9932307367,0.0018982235298201772,0.0027417452999999314,2.6574120006,2.736930673,0.11635302897414798,0.14716583000000005,0.3999843624402274,0.41195323496538566,0.017513051081919577,0.02215088615248456,0.00116648538312,0.001322908281,0.0004372530240131139,0.000168595412,0.0037706954598000003,0.003886360226,0.000964373541027107,0.0006491195100000002,0.00644829151,0.007599993005,0.0019181801117356542,0.0024163053790000003,0.008624918559999998,0.008360162355,0.0032979068425151984,0.0021515834400000003,0.00026756476436,0.0002400636586,8.047562634867795e-05,0.0001042248914
unimol2_84m,bace,scaffold,2,historical,encoder.layers.11.self_attn.linear_q,attention_query,11,dumped/n4_full_ft_splits/bace_scaffold_seed2.json,1,classification,768,768,5,True,0.7053787231399999,0.748909533,0.06937138548606953,0.13767796759999995,1.0000038113999998,1.000003863,2.0350390657818614e-07,3.2599999988391914e-07,0.00130208829609375,0.0013020883632812502,2.6497904503068394e-10,4.244791664432396e-10,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.8115322484000002e-06,3.862700213e-06,2.0331921387638518e-07,3.2584749800000005e-07,5.736985066494851e-07,5.814001297674939e-07,3.0602897147989245e-08,4.9045426042648225e-08,0.0027880462052000004,0.001931563787,0.0019311138911877292,0.0008833585740000002,0.0043503739046,0.003754600129,0.0019859805639312724,0.00031852030900000015,0.008696689419799999,0.008118486509,0.00346430040045115,0.0011926730299999999,0.0169693056668,0.01480367252,0.00793429523365696,0.0017339893099999996,0.0005238706246,0.0005168627249,0.00019532644430528596,0.00016955984760000001
unimol2_84m,bace,scaffold,2,historical,encoder.layers.11.self_attn.linear_v,attention_value,11,dumped/n4_full_ft_splits/bace_scaffold_seed2.json,1,classification,768,768,5,True,0.7053787231399999,0.748909533,0.06937138548606953,0.13767796759999995,7.442973481599999,7.306765382,0.6398850800117406,0.9263923890000001,0.009691371720833333,0.009514017424479167,0.0008331836979319536,0.0012062400898437495,1.0583605478,1.052282338,0.025881300771634946,0.03400829899999991,0.98398413172,0.9839051459,0.0037099095836451317,0.00364062069999993,0.9941101014599999,0.9941914911,0.000944760379136978,0.0007038870000000141,0.9990607203799999,0.9990693356,8.43862668772949e-05,8.16049999999846e-05,2.0036233262,1.988800684,0.08512987235137194,0.12520167999999976,0.3015783772029056,0.29934732492771904,0.012813450721752362,0.018844919094193224,0.00069786087422,0.0006103572331,0.00016322751950877048,0.00031188012090000003,0.0099832770576,0.00945827758,0.0018191495422239918,0.0010346355379999995,0.040224198765999995,0.03749526498,0.00487321046833274,0.008389656939999997,0.9744057758,0.9780051738,0.011158953341845804,0.002716564100000096,0.031399199738000004,0.03382243589,0.0054167831256357645,0.010408904400000002
unimol2_84m,bbbp,scaffold,0,historical,encoder.layers.11.self_attn.linear_k,attention_key,11,dumped/n4_full_ft_splits/bbbp_scaffold_seed0.json,1,classification,768,768,5,True,0.6517534494399999,0.671195507,0.046933442452277326,0.08759701249999996,8.5571896116,10.24584029,3.1644090118776624,3.398016846000001,0.011142173973437499,0.013340937877604167,0.004120324234215706,0.0044245011015625006,1.227907174,1.210135913,0.1163291907770022,0.16323506500000007,0.9555223826800001,0.9497778354,0.022363598560270224,0.01635590219999994,0.98661513428,0.983047203,0.009012620773166462,0.014972791099999938,0.99846956026,0.9978942155,0.0012706313063975177,0.0021781442999999623,2.0396751934,2.326871798,0.5183248819341756,0.3763052199999999,0.3070047781951175,0.3502326069096685,0.0780164488572105,0.05664014592793487,0.00184369098666,0.001184176032,0.0013981838131785602,0.000636593706,0.0053920689104,0.00531276152,0.0015987345295043246,0.0011802243609999995,0.00776628902,0.007069433599,0.0031852575758970925,0.0005466224919999998,0.018789519934,0.01364957248,0.00930391188140623,0.0036263560899999978,0.0006426149164800001,0.000419824064,0.0004609186945340647,2.810751900000002e-05
